Word 1,Word 2,Similarity (0-5),Nonsense (Optional)
السلف,الرائد,0,
الجملة,تبرئة,0,
تسلسل,تأكد,0,
الخلافات,الانحراف,0,
أزمة,مرحلة,0,
افتتح,إغلاق,5,
طرح,علامة,1,
منتخب,مشاة,0,
يتسبب,فعل,1,
لجان,عمولة,5,
كاتب,مؤلف,5,
مناسبة,سبب,1,
اختصار,قطع,4,
السلع,كامل,0,
المنقار,أقلق,0,
السود,أبيض,5,
هوائية,التحدي,2,
إجازة,تألق,0,
ميدالية,زخرفة,4,
اعتمدت,وضيع,0,
النحو,زرنيخ,0,
للدفاع,مناصفة,1.5,
القطبية,الخسران,0,
أخو,أخت,5,
بيته,كردي,0,
يتفق,عقيدة,5,
الضعف,قوة,5,
المستقبل,التالى,4,
التلفزيونية,تلفزيون,5,
يعمل,النبات,0,
نشاط,تراخ,5,
العلوي,أسفل,5,
الموافقة,استنكار,4,
السفلى,دائري,0,
المتعددة,المنتج,0,
الدستورية,مدمج,0,
المنفذ,عمل,3,
درويش,الفقير,5,
قتال,معركة,5,
المنفى,فرصة,0,
موضع,ضع,0,
قصير,الحالي,0,
محفوظ,الحضور,0,
وطنية,وابل,0,
الصليبية,مصلح,0,
بجميع,لا,0,
بنحو,تقريبا,5,
خضراء,ناضجة,5,
الانترنت,شبكة,5,
فالي,وادي,5,
التطورات,تفويض,0,
الشائعة,متبادل,0,
الأخيرة,أولا,5,
جعله,فشل,0,
المئذنة,برج,2,
القومية,داخلي,0,
علوية,هدف,0,
هام,تافه,5,
يتخذ,فانتان,,y
عانى,عمل,0,
متر,قياس,5,
ميلادية,إعلان,0,
تؤدي,بحث,0,
العديدة,قليل,5,
الاقتباس,توصية,0,
الحاصل,عدد,4,
المحاكم,وو,,y
محلي,تلفيق,0,
الثقيل,نشبة,0,
جغرافي,مغنطيسي,1,
المحاصيل,زرع,3,
يبدأ,حضر,0,
جودة,الاختيار,0,
الجسم,جسد,5,
جيداً,سوء,5,
إطلاق,اتركها,0,
المدنية,مهذب,4,
بنات,صبي,5,
شاء,توريث,0,
مفتاح,تجبر,0,
عملها,قسمت,0,
تحسين,هبوط,0,
امبراطورية,الامبرياليين,5,
تمنع,الاختيار,0,
تركيز,خاصية,1,
لمشروع,نتأ,0,
اهتم,تجويف,0,
العجز,قيادة,2,
حبيب,مروحة,0,
قرب,بعيدا,5,
إحسان,خير,5,
الصورة,تصور,5,
أعلى,أسفل,5,
باللهجة,لغة,4,
يصعب,الصعب,5,
منفرد,مشترك,1,
الغربي,غربي,5,
الحروب,ضرورة,0,
الحديدي,تسوية,0,
خانة,رزمة,3,
معنى,حامل,0,
النخيل,مقبض,0,
اجتمع,يوسف,0,
مركب,بسيط,4,
السيناريو,افتراض,4,
روابط,الانقطاع,4,
السلم,الهدوء,4,
التجارة,بضائع,5,
عادية,غريب,5,
السلة,الأطواق,0,
الإثنية,ثقافي,0,
طبيعي,منتصر,0,
راشد,حدث,0,
وتوجد,تطور,0,
الفعالة,فعال,5,
السنين,سن,5,
دعوة,اسم,1,
الاجتماعية,انطوائي,0,
التجارب,خبرة,5,
عبيد,حر,5,
غضب,أثار,0,
أخوه,رفيق,5,
سائر,سابق,1,
الصدر,صدر,5,
يتحول,منعطف,3,
فنون,انضباط,5,
ينقسم,متحد,5,
التجميع,تلفيق,5,
امتداد,تزاحم,0,
الخدمة,خدمة,5,
غياب,تجريب,0,
الفوائد,ربح,4,
إم,الأب,5,
الفتيات,صبي,5,
كارلوس,سانشيز,,y
جثة,جيفة,5,
بقرار,إعلان,4,
الجيد,سيئة,5,
أخت,أخ,5,
أخي,أخت,5,
النحاس,معطف,0,
التعادل,دمج,2,
الرقمي,فطري,1,
مركز,اليسار,3,
الصوتي,صوت,5,
يزيد,نقصان,5,
صوتية,صحي,0,
جزءاً,كليا,5,
شكلها,حدد,0,
التجاري,تعامل,2,
البر,إثم,3,
سؤال,دردشة,2,
تجنب,مواجهة,2,
جزءًا,نلتقي,0,
الأرضية,الشكل,2,
علاقات,الانقطاع,4,
لعبت,ضيق,0,
يجعل,مرحبا,0,
معينة,إنقاذ,0,
أوائل,ارتفاع,0,
الإخراج,خلق,1,
م,ألف,,y
زيادة,جناح,0,
المكان,ستوديو,4,
كلية,الجسم,0,
اللوحات,صورة,3,
كثيرًا,القليل,5,
بطول,بعد,5,
بأكثر,أقل,5,
يقبل,قريب,0,
سلف,ضع,0,
أسباب,اختتام,0,
الأسئلة,شكل,0,
مغتربون,عززت,0,
حصل,ضائع,0,
نقابة,عزز,0,
العدو,تطلب,0,
العدل,رسم,0,
اهل,قوم,4,
أيقونة,صورة,4,
منازل,سلطات,1,
غازي,سائل,5,
الجماهير,كثرة,3.5,
بقرية,بلدة,4,
أقارب,متناسب,5,
يتيمة,نشط,0,
مواصلة,توقف,1,
الانتشار,نشرها,5,
الدائرة,تعميم,0,
شاب,جديد,2,
يعاني,استمتع,4,
مفتوح,منحل,0,
تمنح,عرض,0,
بلورات,تبلور,5,
كاري,فستان,1,
عكس,مواجه,4,
يزال,متحرك,3.5,
السائد,سائد,5,
ملعب,منتجع,3,
المباراة,تعارض,4,
كافة,لا,4.5,
النزاع,فواجه,4.5,
بتعديل,وصف,0,
ارتفاع,منخفض,5,
اللعب,ضيق,0,
هيئة,جسد,4,
المجلة,خرطوشة,0,
تأسيسها,الغرب,0,
الجزيئي,تستعد,0,
السنية,السني,5,
النسبية,مطلق,5,
مقابلة,سؤال,5,
عمل,تراخ,4,
تكوين,تشكيل,5,
الوفيات,نقل,5,
أبعد,المزيد,3,
يدعو,اسم,2,
علما,رصد,2,
يدعم,دعم,5,
الأحمر,برهن,0,
الشعري,شعري,5,
الجذور,شرط,0,
ويشير,التالى,0,
الصعيد,مسطحة,0,
الترفيهية,تسلية,5,
طول,بعد,4,
السفلي,تجبر,0,
مسلمون,مسلم,5,
اتصالات,التواصل,5,
يمكن,قصدير,0,
الصغار,حفظ,2,
دولي,فواجه,0,
لاحق,خفي,0,
عمر,تجديد,2,
طور,تتطور,4,
مبكر,سابق,4,
تعيش,مسجل,0,
سائل,شفاف,3,
الاتفاق,قذيفة,0,
طبيعية,اتفاقية,0,
الكرة,لفة,2,
البرمجيات,الفنية,3,
الجمعيات,تبرؤ,0,
القرن,مائة,4,
تشبه,مماثل,5,
مستعمرة,مستوطنة,5,
مؤقت,عشرة,0,
تزيد,مستحق,0,
الأرمن,الأرميني,5,
