Word 1,Word 2,Similarity (0-5),Nonsense (Optional)
السلف,الرائد,1,
الجملة,تبرئة,0,
تسلسل,تأكد,0,
الخلافات,الانحراف,2,
أزمة,مرحلة,2.5,
افتتح,إغلاق,4,
طرح,علامة,1,
منتخب,مشاة,1,
يتسبب,فعل,3,
لجان,عمولة,0,
كاتب,مؤلف,5,
مناسبة,سبب,3.5,
اختصار,قطع,1,
السلع,كامل,2,
المنقار,أقلق,0,
السود,أبيض,4,
هوائية,التحدي,0,
إجازة,تألق,0,
ميدالية,زخرفة,1,
اعتمدت,وضيع,0,
النحو,زرنيخ,0,
للدفاع,مناصفة,0,
القطبية,الخسران,0,
أخو,أخت,4,
بيته,كردي,1.5,
يتفق,عقيدة,2.5,
الضعف,قوة,4,
المستقبل,التالى,5,
التلفزيونية,تلفزيون,5,
يعمل,النبات,0,
نشاط,تراخ,4,
العلوي,أسفل,4,
الموافقة,استنكار,4,
السفلى,دائري,2,
المتعددة,المنتج,0,
الدستورية,مدمج,1,
المنفذ,عمل,3,
درويش,الفقير,1,
قتال,معركة,4,
المنفى,فرصة,0,
موضع,ضع,4,
قصير,الحالي,0,
محفوظ,الحضور,0,
وطنية,وابل,0,
الصليبية,مصلح,0,
بجميع,لا,0,
بنحو,تقريبا,5,
خضراء,ناضجة,4,
الانترنت,شبكة,4,
فالي,وادي,0,y
التطورات,تفويض,1,
الشائعة,متبادل,1,
الأخيرة,أولا,4,
جعله,فشل,0,
المئذنة,برج,3,
القومية,داخلي,3.5,
علوية,هدف,0,
هام,تافه,4,
يتخذ,فانتان,0,y
عانى,عمل,2.5,
متر,قياس,3,
ميلادية,إعلان,0,
تؤدي,بحث,2,
العديدة,قليل,4,
الاقتباس,توصية,0,
الحاصل,عدد,1,
المحاكم,وو,0,y
محلي,تلفيق,0,
الثقيل,نشبة,0,
جغرافي,مغنطيسي,0,
المحاصيل,زرع,4,
يبدأ,حضر,1.5,
جودة,الاختيار,1,
الجسم,جسد,5,
جيداً,سوء,4,
إطلاق,اتركها,4,
المدنية,مهذب,0,
بنات,صبي,4,
شاء,توريث,1,
مفتاح,تجبر,0,
عملها,قسمت,1,
تحسين,هبوط,4,
امبراطورية,الامبرياليين,4,
تمنع,الاختيار,4,
تركيز,خاصية,4,
لمشروع,نتأ,0,
اهتم,تجويف,0,
العجز,قيادة,4,
حبيب,مروحة,0,
قرب,بعيدا,4,
إحسان,خير,4,
الصورة,تصور,5,
أعلى,أسفل,4,
باللهجة,لغة,4,
يصعب,الصعب,5,
منفرد,مشترك,4,
الغربي,غربي,5,
الحروب,ضرورة,0,
الحديدي,تسوية,0,
خانة,رزمة,1,
معنى,حامل,0,
النخيل,مقبض,0,
اجتمع,يوسف,0,
مركب,بسيط,4,
السيناريو,افتراض,5,
روابط,الانقطاع,4,
السلم,الهدوء,5,
التجارة,بضائع,4,
عادية,غريب,4,
السلة,الأطواق,1,
الإثنية,ثقافي,4,
طبيعي,منتصر,0,
راشد,حدث,0,
وتوجد,تطور,1,
الفعالة,فعال,5,
السنين,سن,5,
دعوة,اسم,1.5,
الاجتماعية,انطوائي,4,
