Word 1,Word 2,Similarity
إضافة,طرح,0.7
البرمجيات,الفنية,0.325
كارلوس,سانشيز,0.567
شكلها,حدد,0.175
جزءاً,كليا,0.85
مسلمون,مسلم,1.0
موحدة,متسق,0.4
عكس,مواجه,0.7
لين,الصعب,0.8
تقدم,عرض,0.4
التعادل,دمج,0.525
إجازة,تألق,0.0
متر,قياس,0.6
المنفذ,عمل,0.5
المستقبل,التالى,0.85
قمر,عرض,0.0
مغلقة,بلدة,0.0
غياب,تجريب,0.0
يعطي,بناء,0.1
جسور,خجول,0.4
تزيد,مستحق,0.1
تتحول,منعطف,0.4
العضوية,غريزي,0.2
السلع,كامل,0.3
فائدة,تجويف,0.0
يُمكن,تأتي,0.2
الاجتماعية,انطوائي,0.6
ازدياد,نقصان,0.8
تحسين,هبوط,0.575
هاتف,مكالمة,0.8
اللعب,ضيق,0.15
المستعملة,استغلال,0.55
عبر,بالعرض,0.5
العقد,كتيب,0.3
السنين,سن,1.0
الجزيئي,تستعد,0.025
نجد,تخسر,0.4
شاء,توريث,0.15
الفتيات,صبي,0.925
موضع,ضع,0.6
يزال,متحرك,0.4
مدرب,قطار,0.0
الجسم,جسد,0.975
الفاكهة,يتحمل,0.1
الترفيهية,تسلية,0.95
حقائق,مفهوم,0.45
المؤقت,الأثناء,0.4
سؤال,دردشة,0.65
يستحق,جدارة,0.75
الحديدي,تسوية,0.025
بارزة,معلقة,0.6
الأخيرة,أولا,0.95
عبيد,حر,0.8
خطر,سلامة,0.9
خفيف,أساسي,0.3
القومية,داخلي,0.55
جيب,حقيبة,0.3
للمجلس,جمعية,0.7
القرار,سجل,0.0
يمكن,قصدير,0.0
رحيل,الذهاب,0.8
السنية,السني,1.0
تعيش,مسجل,0.05
اهتم,تجويف,0.0
السلف,الرائد,0.2
الصعيد,مسطحة,0.2
يؤمن,ميدان,0.1
بعيداً,خارج,0.6
غريبة,مألوف,0.9
النسبية,مطلق,0.65
الجيد,سيئة,0.9
التوقف,فراغ,0.1
بيضاء,تقريبا,0.0
الجماهير,كثرة,0.725
الوفيات,نقل,0.425
أقارب,متناسب,0.6
العدو,تطلب,0.15
تظهر,عرض,0.8
المكتوبة,سرد,0.55
دولي,فواجه,0.0
عملها,قسمت,0.2
إصدار,مختلف,0.1
مكتبة,تراكم,0.3
زوج,حيازة,0.25
التجاري,تعامل,0.45
الجذور,شرط,0.025
الوفاء,ديني,0.2
الشرق,غرب,0.9
الخطر,ضائع,0.3
مزرعة,تنمو,0.65
المغناطيسية,توضيح,0.0
نصر,هزيمة,0.9
يصعب,الصعب,0.975
ميلادية,إعلان,0.175
بحر,إيجاد,0.1
الحرارة,يأذن,0.0
نشاط,تراخ,0.95
تمثل,محاكمة,0.3
ابتداء,غرس,0.4
الدستورية,مدمج,0.225
الترجمة,أداء,0.0
أخت,أخ,0.925
آمنة,خطير,0.9
غازي,سائل,0.775
راشد,حدث,0.15
أخوه,رفيق,0.8
القانون,فقه,0.45
الأقصى,قرب,0.8
أعلى,أسفل,0.95
المئذنة,برج,0.6
الكتابة,تأليف,0.7
الأرضي,مرساة,0.35
المدنية,مهذب,0.375
الخصم,ناهض,0.4
أخي,أخت,0.925
النحو,زرنيخ,0.0
أخو,أخت,0.925
خانة,رزمة,0.2
السيناريو,افتراض,0.825
عمل,تراخ,0.85
سيئة,جيد,0.9
شاب,جديد,0.25
معينة,إنقاذ,0.25
وطنية,وابل,0.15
لحظة,هدم,0.0
علما,رصد,0.55
مؤقت,عشرة,0.075
السلام,ثانية,0.0
المجلة,خرطوشة,0.125
يتفق,عقيدة,0.6
ميدالية,زخرفة,0.525
المسلسلات,متتابع,0.7
سائر,سابق,0.25
شهاب,نيزك,0.65
أسباب,اختتام,0.05
اللوحات,صورة,0.8
مواصلة,توقف,0.4
إعلامي,المنير,0.3
اهل,قوم,0.725
معنى,حامل,0.05
يتحول,منعطف,0.3
عادية,غريب,0.925
متلازمة,مجمع,0.4
بقرار,إعلان,0.725
علوية,هدف,0.15
المرتبطة,قريب,0.5
نووية,الذري,0.9
المجلات,خرطوشة,0.3
الثورة,دوران,0.2
يعمل,النبات,0.175
منفرد,مشترك,0.7
تكوين,تشكيل,0.975
يقبل,قريب,0.15
يرفض,هبوط,0.3
أسلوب,عنوان,0.0
الوطنية,الأرستقراطي,0.3
بيته,كردي,0.2
الانتشار,نشرها,0.975
العدل,رسم,0.05
الخلفية,طليعة,0.9
وبعدها,ثم,0.75
المراكز,اليسار,0.3
طبيعية,اتفاقية,0.075
إنقاذ,تسليم,0.3
مركب,بسيط,0.4
العديدة,قليل,0.875
اختصار,قطع,0.625
الأدباء,مؤلف,0.75
القرن,مائة,0.8
الحكمة,حماقة,0.8
هيا,نزول,0.2
تمييز,محسوبية,0.4
تصيب,طهر,0.2
يعاني,استمتع,0.75
عانت,استمتع,0.1
المكان,ستوديو,0.525
هزيمة,فوز,0.9
جمال,متوسط,0.0
ارتفاع,منخفض,0.925
تربة,نظيف,0.3
العسكري,مدني,0.9
القسم,قطعة,0.6
تشجيع,رغبة,0.3
غضب,أثار,0.375
النور,أسير,0.0
جيداً,سوء,0.925
الانترنت,شبكة,0.925
جين,عامل,0.0
تنص,قل,0.3
جثة,جيفة,0.975
ابتدائية,ثانوي,0.5
حصل,ضائع,0.15
قتال,معركة,0.95
دعوة,اسم,0.225
الإخراج,خلق,0.175
بنحو,تقريبا,0.9
اعتمدت,وضيع,0.075
الصوتي,صوت,1.0
وبعض,تقريبا,0.6
صلاحية,عجز,0.4
باللهجة,لغة,0.85
فنون,انضباط,0.475
الترتيب,متفوق,0.5
انتخاب,الاختيار,0.7
محفوظ,الحضور,0.0
الوظيفية,التشغيل,0.7
الحرارة,سيادة,0.1
لسان,حضن,0.3
الحيوانات,معدن,0.1
ويشير,التالى,0.2
للدفاع,مناصفة,0.125
رقمية,ملحق,0.2
أبعد,المزيد,0.35
قصير,الحالي,0.1
العلوي,أسفل,0.925
لاحق,خفي,0.05
سائل,شفاف,0.35
يعطى,عودة,0.3
النفسية,العلوم,0.6
توازن,جزيء,0.2
جغرافي,مغنطيسي,0.2
بدء,النهاية,0.9
دفاع,جريمة,0.2
التجارة,بضائع,0.825
تظل,تنسيق,0.3
جزءًا,نلتقي,0.025
جودة,الاختيار,0.2
مغتربون,عززت,0.0
تنقل,جودة,0.0
الصليبية,مصلح,0.175
مستعمرة,مستوطنة,0.925
الأحوال,انضباط,0.2
إظهار,عرض,0.8
الداخلي,سفلي,0.3
الجمعيات,تبرؤ,0.075
راديو,نقل,0.2
بلورات,تبلور,0.9
الغازية,تابع,0.0
العبارة,صياغة,0.6
الحروب,ضرورة,0.15
داخلي,خارجي,0.9
عانى,عمل,0.225
نصف,كامل,0.7
افتتح,إغلاق,0.95
المتحركة,حياة,0.3
الحزم,اغلاق,0.3
الحجري,حفرة,0.4
بقرية,بلدة,0.8
هام,تافه,0.925
منتخب,مشاة,0.075
عاصمتها,رائعة,0.0
دائمًا,أبدا,0.7
أيقونة,صورة,0.775
الخدمة,خدمة,1.0
بتنظيم,نظمت,0.95
كاتب,مؤلف,1.0
الرائد,افتح,0.3
أشكال,تنظم,0.55
حرة,الحب,0.3
مقابل,عازم,0.1
بارتفاع,أسفل,0.7
العصب,صلب,0.25
التجميع,تلفيق,0.625
مجمع,بسيط,0.0
إحسان,خير,0.925
سلف,ضع,0.0
كافة,لا,0.65
عصبة,زمرة,0.8
سابقون,أخير,0.65
ملعب,منتجع,0.65
طباعة,نشر,0.65
الحاصل,عدد,0.45
صوتية,صحي,0.025
محاذاة,مزرق,0.1
اجتمع,يوسف,0.0
الثوري,متطرف,0.6
مدرس,معلم,1.0
أزمة,مرحلة,0.35
تمنح,عرض,0.3
يتيمة,نشط,0.0
هوامش,الحدود,0.6
الكوميديا,مأساة,0.5
التقرير,وصف,0.5
مركز,اليسار,0.525
الضعف,قوة,0.95
الحقيقي,موجود,0.5
الحضرية,الريف,0.8
المباراة,تعارض,0.65
الجملة,تبرئة,0.05
السفلى,دائري,0.25
مقابلة,سؤال,0.8
تمنع,الاختيار,0.375
يقلل,حركة,0.2
تشبه,مماثل,0.975
نصب,ألغى,0.25
منازل,سلطات,0.05
الصغار,حفظ,0.45
عملاقة,أخرق,0.1
وتوجد,تطور,0.067
المقام,ضع,0.1
إطلاق,اتركها,0.4
الموافقة,استنكار,0.875
السائد,سائد,1.0
تركيز,خاصية,0.425
النخيل,مقبض,0.025
الرقمي,فطري,0.1
يحضر,بحث,0.25
يجد,بالتأكيد,0.1
تشتمل,استبعد,0.35
بنات,صبي,0.925
خرج,مجموعة,0.3
الأركان,تلبية,0.3
طور,تتطور,0.925
طيران,ريش,0.65
المتعددة,المنتج,0.125
الكلية,الجسم,0.4
المعتمد,مواطن,0.0
كلية,الجسم,0.3
الكرة,لفة,0.3
امبراطورية,الامبرياليين,0.925
الأحمر,برهن,0.0
المنفى,فرصة,0.05
الإفراج,قلعة,0.2
مستقبل,الماضي,0.9
انتشار,طية,0.3
تجنب,مواجهة,0.7
أضف,ألحق,0.5
ذكور,أنثى,0.9
الإثنية,ثقافي,0.4
العقل,أغلق,0.3
البنات,دفن,0.0
أوائل,ارتفاع,0.15
النحاس,معطف,0.1
الأرضية,الشكل,0.225
يتسبب,فعل,0.575
النقدية,احتفظ,0.2
الثقيل,نشبة,0.0
مفتاح,تجبر,0.175
روابط,الانقطاع,0.85
الدوران,ثورة,0.3
أغلب,حول,0.3
وظل,النصرانية,0.0
تسلسل,تأكد,0.05
خضراء,ناضجة,0.65
لمشروع,نتأ,0.0
سقط,حملة,0.4
النوم,الاحتجازية,0.0
مهاجمو,معتدي,0.65
التنسيق,محترس,0.0
مبكر,سابق,0.75
الجدل,خلاف,0.5
يدعو,اسم,0.45
البر,إثم,0.6
النووية,تقليدي,0.0
خلفية,عززت,0.25
الخلافات,الانحراف,0.475
الميناء,طازج,0.0
جعله,فشل,0.25
الفوائد,ربح,0.75
نجح,فشل,0.85
متكررة,نادر,0.75
الأحداث,حالة,0.2
لعبت,ضيق,0.025
طول,بعد,0.65
مناسبة,سبب,0.5
الفعالة,فعال,1.0
تكونت,متخيل,0.3
رابطة,تبرؤ,0.0
يجعل,مرحبا,0.0
المحترفة,الهاوي,0.85
شرعية,لاشرعية,0.85
قرب,بعيدا,0.95
علاقات,الانقطاع,0.75
زادت,انخفاض,0.75
الشرف,خزي,0.8
الإطارات,نكهة,0.0
مفتوح,منحل,0.225
قمة,تحقيق,0.25
تأهل,قرية,0.0
طرح,علامة,0.2
دوريات,شرطة,0.7
المدني,مهذب,0.2
بتعديل,وصف,0.15
الأوساط,تعميم,0.0
والد,انجب,0.6
استمر,نقل,0.4
الأمان,خطر,0.9
تنس,التنس,0.6
التجارب,خبرة,0.85
أطلق,اتركها,0.7
يبدأ,حضر,0.175
بأكثر,أقل,0.925
الاتفاق,قذيفة,0.2
كثيرًا,القليل,0.95
الصدر,صدر,1.0
تؤدي,بحث,0.25
تصغير,زيادة,0.7
ينقسم,متحد,0.925
عمر,تجديد,0.25
طبيعي,منتصر,0.025
السلة,الأطواق,0.275
النزاع,فواجه,0.567
التطورات,تفويض,0.2
المقال,ربط,0.2
العزم,أملى,0.0
جيد,كامل,0.3
العجز,قيادة,0.625
خطي,مكعب,0.3
لجان,عمولة,0.425
تلوث,العيب,0.4
السماوية,ثانية,0.0
بطول,بعد,0.6
يدعم,دعم,1.0
عزبة,فدان,0.4
فلم,كل,0.0
بجميع,لا,0.15
درويش,الفقير,0.725
قمع,تقليص,0.65
كاري,فستان,0.05
التعليق,تنويه,0.4
الاقتباس,توصية,0.15
دل,الساحبة,0.0
الصورة,تصور,0.975
المنقار,أقلق,0.0
بري,الجامح,0.4
الدائرة,تعميم,0.025
نقد,جمهورية,0.1
مطالب,تجنب,0.2
السفلي,تجبر,0.1
مشاعر,الانطباع,0.55
ثابتة,مجموعة,0.4
المحاصيل,زرع,0.825
الرسمية,الموظف,0.3
يزيد,نقصان,0.875
صعوبة,ارتشف,0.0
تأسيسها,الغرب,0.15
إغلاق,النهاية,0.7
فقد,وجدت,0.8
وطن,داخلي,0.5
القطبية,الخسران,0.0
الأسئلة,شكل,0.075
مغناطيسية,جغرافي,0.0
يطلب,مثالي,0.0
الطيبة,كامل,0.2
مركبة,نقل,0.5
الفدرالي,اتفاقية,0.3
تثبت,مرضي,0.0
بنين,ابن,0.8
جنسي,حميم,0.4
الشعري,شعري,1.0
نقابة,عزز,0.1
هيئة,جسد,0.725
إم,الأب,0.925
هوائية,التحدي,0.125
مباني,صرح,0.6
امتداد,تزاحم,0.15
الشائعة,متبادل,0.4
السود,أبيض,0.95
الغربي,غربي,1.0
زيادة,جناح,0.15
الأرمن,الأرميني,1.0
فقر,ثروة,0.4
شكري,اعتراف,0.2
يسبق,أبدا,0.7
بعضها,كل,0.8
محلي,تلفيق,0.2
يشمل,اعترف,0.0
إشارات,إشارة,0.95
اتصالات,التواصل,0.9
حبيب,مروحة,0.0
بمركز,وسط,0.4
ملامح,نقص,0.0
السلم,الهدوء,0.875
اللحم,نواة,0.1
