Word 1,Word 2,Similarity (0-5),Nonsense (Optional)
لسان,حضن,0,
بحر,إيجاد,0,
الإفراج,قلعة,0,
سيئة,جيد,5,
الحرارة,سيادة,0,
التوقف,فراغ,0,
بعيداً,خارج,2,
رياضات,خاصية,0,
هاتف,مكالمة,5,
الحضرية,الريف,4,
فقد,وجدت,5,
بنين,ابن,4,
المتحركة,حياة,2,
تظهر,عرض,4,
اللاحق,جولة,0,
الفاكهة,يتحمل,0,
غريبة,مألوف,5,
يقلل,حركة,0,
راديو,نقل,1,
بقي,ملحق,2,
الثوري,متطرف,3,
غينيا,ووب,,y
حقائق,مفهوم,1,
توازن,جزيء,0,
الأدباء,مؤلف,3,
فقر,ثروة,0,
يسبق,أبدا,4,
طروادة,مدينة,,y
بري,الجامح,0,
نقد,جمهورية,0,
تنس,التنس,5,
خلفية,عززت,0,
زوج,حيازة,0,
بعضها,كل,4,
مقابل,عازم,0,
الحكمة,حماقة,4,
مركبة,نقل,3,
العقل,أغلق,2,
والد,انجب,4,
محاذاة,مزرق,0,
أسلوب,عنوان,0,
يشمل,اعترف,0,
انتخاب,الاختيار,4,
السلام,ثانية,0,
يطلب,مثالي,0,
إظهار,عرض,4,
المسلسلات,متتابع,4,
قمع,تقليص,3,
رقمية,ملحق,0,
هزيمة,فوز,5,
خفيف,أساسي,2,
تتحول,منعطف,2,
النوم,الاحتجازية,0,
تكونت,متخيل,0,
مستقبل,الماضي,5,
تثبت,مرضي,0,
وطن,داخلي,3,
تنص,قل,0,
تربة,نظيف,0,
العبارة,صياغة,3,
النووية,تقليدي,0,
للمجلس,جمعية,3,
عبر,بالعرض,3,
تمييز,محسوبية,0,
عاصمتها,رائعة,0,
صعوبة,ارتشف,0,
ازدياد,نقصان,5,
ميونخ,ميونيخ,5,
النفسية,العلوم,2,
حرة,الحب,1,
بتنظيم,نظمت,5,
الدوران,ثورة,0,
ابتداء,غرس,2,
الأوساط,تعميم,0,
جمال,متوسط,0,
الكوميديا,مأساة,1,
طيران,ريش,3,
هوامش,الحدود,3,
ثابتة,مجموعة,2,
الصوديوم,نا,,y
تصغير,زيادة,4,
شكري,اعتراف,0,
تلوث,العيب,1,
بارتفاع,أسفل,4,
نصر,هزيمة,5,
دل,الساحبة,0,
الحقيقي,موجود,3,
فيكتور,سيد,,y
يعطي,بناء,0,
الوظيفية,التشغيل,3,
الكلية,الجسم,2,
مهاجمو,معتدي,3,
العضوية,غريزي,0,
دفاع,جريمة,1,
اللحم,نواة,0,
المحترفة,الهاوي,5,
