Word 1,Word 2,Similarity (0-5),Nonsense (Optional)
رمز,صفر,2,
المصمم,مزخرف,3,
يستمر,نشر,1,
الرابطة,صلة,5,
بير,ثور,0,
المعهد,إنشاء,0,
منشأة,تركيب,3,
اليسار,مركز,0,
النصوص,المدرسية,3,
اسم,مكالمة,0,
للاتحاد,يستلزم,3,
الاخرى,نقد,0,
مسرحية,عمل,3,
حكومات,سلطات,5,
ورد,صياغة,3,
المضاد,معاد,5,
سلبية,إيجابية,5,
للثقافة,حضارة,4,
الرحلات,ريش,0,
الطبيعة,سبب,1,
الأمامي,جامد,0,
جميعا,لا,0,
ويقول,حالة,0,
الريفي,الحضري,5,
قنابل,مرر,0,
واجه,يوم,0,
درع,شاشة,0,
الراديو,نقل,0,
هامة,الاستيراد,0,
بقية,مزرق,0,
غضون,جولة,2,
بصورة,أكثر,0,
إعداد,حالة,2,
مايكل,ميخائيل,5,
الحادثة,الأساسية,0,
الطبيعي,غريزي,4,
ترجمة,أداء,1,
بينما,قطعة,0,
المنزلية,انجستروم,,y
تنقسم,قسمت,5,
الإستراتيجية,مخطط,4,
رتب,حنون,0,
فقط,منصف,0,
أخبار,استخبارات,5,
أبى,قبول,0,
السامية,بارز,3,
مثلما,زرنيخ,0,
بدولة,قل,0,
الشائع,مجرد,0,
القريب,ارفع,0,
درس,مثال,5,
كلاسيكية,فنان,3,
اتفق,تعارض,5,
الشتاء,مرر,0,
الافتراضي,فشل,0,
إنشاء,صنع,5,
انتهى,ابدأ,5,
سور,جرف,0,
خسر,دائرة,0,
زيتون,فاكهة,5,
الرب,سيدة,4,
إحياء,تراكم,0,
ساوث,حوار,,y
جيدا,سوء,5,
القرارات,تقرير,5,
المعادن,مادة,4,
وطني,مجلس,3,
حكاية,سرد,5,
أضاف,انتظر,0,
يمكنها,تأجير,0,
سوس,عملة,0,
ميزوري,ميسوري,,y
تنتقل,أخذ,0,
الصوتية,صوت,5,
توقف,ابتهاج,0,
إمكانية,استحالة,5,
الأسبق,استراحة,0,
جيدة,سيئة,5,
اعتبر,رؤية,3,
يرجع,المستحقة,3,
أبا,قماش,0,
التخلي,تعليم,0,
يدعي,انتحل,4,
الماضي,مستقبل,5,
المواد,معلقة,0,
الكل,كليا,5,
سوداء,أبيض,5,
يأتي,مستعرض,3,
هنا,هناك,4,
العملية,عالج,3,
يلاحظ,تجاهل,2,
عرش,توج,5,
متكرر,نادر,4,
اتفاقيات,حفظ,3,
العسكريين,أولا,0,
أصل,بداية,5,
هامش,الحدود,4,
تتغير,بدل,5,
أبناء,صبي,5,
وضعه,بنسلفانيا,,y
اضطراب,أقول,0,
مؤسسة,كورب,,y
بيغ,القليل,,y
الخضر,أخضر,5,
بتقديم,عرض,3,
مستمر,متقطع,5,
المطلب,دوران,0,
السحب,تهريج,0,
المؤقتة,دائم,5,
المسرحيات,لعب,4,
سمو,سفالة,4,
معناه,وكالة,0,
سيرته,مرحبا,0,
قرار,تقرير,5,
جعل,استراحة,0,
السوق,تسويق,5,
مرآة,تعكس,5,
اقترح,بطلان,0,
الجد,عبث,5,
اصل,بداية,5,
لكن,مجرد,0,
اهتمامات,متذكر,3,
شغل,فارغة,4,
سحاب,تنضيف,0,
المعادل,التعادل,5,
حقوق,مركز,0,
هندسة,تكنولوجيا,4,
بأعمال,خامل,3,
البيوت,مرر,0,
ذروة,تكبد,3,
يولد,تؤدي,0,
تشير,قرب,0,
مجانية,مقيد,0,
شديد,النابليون,0,
وبخاصة,خصوصا,5,
يمثل,الوقوف,0,
لَا,ألغى,2,
الحاد,مزمن,0,
القبول,الرفض,5,
نشط,المشاركة,3,
ربط,قطع,5,
مرتفعة,بارز,5,
موجودة,يكون,5,
تلعب,ضيق,0,
