Word 1,Word 2,Similarity (0-10),Nonsense (Optional),,
السلف,الرائد,6,,,
الجملة,تبرئة,2,,"* Interestingly (for me anyway!), if these had been translated literally in English, they would be pretty close to being antonyms (sentence and acquittal). As it happens, in Arabic, it doesn't work that way, and there isn't an immediate relationship.",
تسلسل,تأكد,2,,,
الخلافات,الانحراف,8,,,
أزمة,مرحلة,5,,,
افتتح,إغلاق,10,,,
طرح,علامة,0,,,
منتخب,مشاة,1,,,
يتسبب,فعل,7,,,
لجان,عمولة,7,,,
كاتب,مؤلف,10,,,
مناسبة,سبب,5,,,
اختصار,قطع,7,,,
السلع,كامل,8,,,
المنقار,أقلق,0,,,
السود,أبيض,10,,,
هوائية,التحدي,1,,,
إجازة,تألق,0,,,
ميدالية,زخرفة,8,,,
اعتمدت,وضيع,3,,,
النحو,زرنيخ,0,,,
للدفاع,مناصفة,2,,,
القطبية,الخسران,0,,,
أخو,أخت,9,,,
بيته,كردي,5,,,
يتفق,عقيدة,6,,,
الضعف,قوة,10,,,
المستقبل,التالى,7,,,
التلفزيونية,تلفزيون,10,y,,
يعمل,النبات,7,,,
نشاط,تراخ,10,,,
العلوي,أسفل,9,,"* Difficult to know the context in which one of these words is used. It could mean Alawi or it could mean 'high' or 'top'. I went for the latter, which would make it a close antonym of the word in column B.",
الموافقة,استنكار,9,,,
السفلى,دائري,6,,,
المتعددة,المنتج,1,,,
الدستورية,مدمج,7,,,
المنفذ,عمل,8,,,
درويش,الفقير,9,,,
قتال,معركة,10,,,
المنفى,فرصة,2,,,
موضع,ضع,9,,,
قصير,الحالي,4,,,
محفوظ,الحضور,0,,,
وطنية,وابل,6,,,
الصليبية,مصلح,7,,,
بجميع,لا,6,,,
بنحو,تقريبا,8,,,
خضراء,ناضجة,8,,,
الانترنت,شبكة,9,,,
فالي,وادي,10,,"*I'm not familiar with this transliteration and it's not a 'word' according to Hans Wehr, but I also wouldn't say it's a nonsense word.",
التطورات,تفويض,6,,,
الشائعة,متبادل,6,,,
الأخيرة,أولا,10,,,
جعله,فشل,6,,,
المئذنة,برج,8,,,
القومية,داخلي,7,,,
علوية,هدف,6,,,
هام,تافه,9,,,
يتخذ,فانتان,,y,,
عانى,عمل,1,,,
متر,قياس,8,,,
ميلادية,إعلان,7,,,
تؤدي,بحث,6,,,
العديدة,قليل,9,,,
الاقتباس,توصية,6,,,
الحاصل,عدد,8,,,
المحاكم,وو,,y,,
محلي,تلفيق,8,,,
الثقيل,نشبة,,y,,
جغرافي,مغنطيسي,6,,,
المحاصيل,زرع,9,,,
يبدأ,حضر,4,,,
جودة,الاختيار,6,,,
الجسم,جسد,9,,,
جيداً,سوء,9,,,
إطلاق,اتركها,7,,,
المدنية,مهذب,7,,,
بنات,صبي,9,,,
شاء,توريث,4,,,
مفتاح,تجبر,7,,,
عملها,قسمت,6,,,
تحسين,هبوط,7,,,
امبراطورية,الامبرياليين,9,,,
تمنع,الاختيار,7,,,
تركيز,خاصية,7,,,
لمشروع,نتأ,,y,,
اهتم,تجويف,0,,,
العجز,قيادة,7,,,
حبيب,مروحة,0,,,
قرب,بعيدا,10,,,
إحسان,خير,9,,,
الصورة,تصور,9,,,
أعلى,أسفل,10,,,
باللهجة,لغة,8,,,
يصعب,الصعب,9,,,
منفرد,مشترك,8,,,
الغربي,غربي,10,,,
الحروب,ضرورة,6,,,
الحديدي,تسوية,1,,,
خانة,رزمة,0,,,
معنى,حامل,2,,,
النخيل,مقبض,1,,"Again, if this was translated directly from English, they could be similar (palm and grip), but this particular 'palm' means the tree in Arabic.",
اجتمع,يوسف,0,,name (Yusif),
مركب,بسيط,0,,,
السيناريو,افتراض,7,,,
روابط,الانقطاع,8,,,
السلم,الهدوء,7,,,
التجارة,بضائع,7,,,
عادية,غريب,9,,,
السلة,الأطواق,9,,,
الإثنية,ثقافي,8,,,
طبيعي,منتصر,1,,,
راشد,حدث,6,,,
وتوجد,تطور,,y,,
الفعالة,فعال,10,,,
السنين,سن,,y,"It means something in 'amiyya, but not in fosHa.",
