Word 1,Word 2,Similarity (0-5),Nonsense (Optional)
دمرت,يستلزم,0,
البدلاء,عرض,0,
عميق,ضحل,4,
بدوره,عبور,1,
عادي,خوارق,4,
مستعار,مخطئ,5,
الولوج,تحقيق,3,
بنك,سحب,4,
حب,كراهية,4,
الشمالي,شمالي,5,
منخفضة,ارتفاع,4,
تجهيز,قرار,4,
الرمل,ناعم,2.5,
تغطية,التقارير,2.5,
نائبا,ملازم,4,
النزاعات,التحدي,3,
تعرضت,الآنسة,1,
طيف,نطاق,4,
الانضمام,فكك,4,
آخرون,نفسه,3,
القصير,طويل,4,
المختصر,حفر,0,
تخفيض,نقصان,5,
ثور,بقري,5,
عضوي,زاحف,0,
حاجة,تجنب,1,
نشاطها,مشدود,2,
اتخذت,معطى,3,
حد,ابدأ,3,
وجنوب,حلف,0,
معاداة,المؤيد,4,
دجلة,النمر,0,
يفقد,المنتج,2.5,
ثوم,توعك,0,
الحالي,إزهار,0,
لجمعية,النادي,4,
صخور,تمايل,3,
الحيوية,حرج,4,
إسم,مكالمة,1,
المسرحية,غادر,0,
أرباحا,ربح,5,
ابن,صبي,3.5,
أماكن,مشهور,2,
الصباح,الضحى,5,
المصارعة,تصارع,5,
وجوه,تجنب,0,
سهولة,إسرائيلي,0,
الشاب,انقطاع,0,
فائزون,خطي,0,
شيوعا,متبادل,0,
منهج,برنامج,5,
تتوقف,فصيل,0,
جبهة,خلفي,4,
ركوب,سير,3.5,
البدنية,عقلي,4,
الحدث,حالة,5,
موزعة,يساوي,4,
داخلية,خارجي,4,
حر,مقيد,4,
ضروري,ضرورة,5,
للتنمية,تفويض,3,
شقيقة,المنحدر,0,
تفصيلي,يفصل,4,
مخصصة,استعمال,2,
المفاتيح,جهاز,1,
أسقف,كاهن,0,
أيضا,جدا,3,
التغير,تغيير,5,
الأردنية,الأردن,5,
التاسع,تسعة,5,
المراجعة,نقد,4,
ز,غرام,0,
الحيوان,جسدي,0,
خارجي,مساعد,1,
عقوبة,مكافأة,4,
تهذيب,اللاانضباط,4,
قومية,طموح,1,
ملخص,سفر,0,
فشل,إهمال,3,
الأوقات,فترة,3,
قانوني,صوت,0,
ببعض,وصفي,0,
ومراكز,اليسار,0,
شائعة,متبادل,0,
ارض,اجلس,1,
الإعدام,وكالة,0,
الظاهري,عملي,4,
جود,موقع,0,
يبين,عرض,4,
الفيزيائي,إكراهي,0,
قلبية,تعارض,3.5,
البعثة,تهمة,0,
هاجم,جولة,1,
ينجح,فشل,4,
يقف,الوقوف,5,
فوائد,ربح,3.5,
ساعد,مساعدة,5,
حمراء,مثالي,0,
ويوجد,موقع,0,
التوسع,وكالة,0,
ثانياً,تشكل,0,
ريال,تصرف,3,
يبق,مركز,0,
طيب,كامل,0,
استقال,المعيشة,1,
ينتهي,ابدأ,4,
آمن,نقطة,3,
بالعمل,خامل,3.5,
الجوي,هواء,5,
كلها,لا,3.5,
تفجيرات,قصف,4.5,
مظاهر,الظهور,5,
الطفل,الأم,4,
الإرهاب,إكراه,3.5,
المرجعية,استشهد,0,
المفتوحة,مغفل,0,
مبارك,تشكيل,0,
بن,تخزين,3,
يخص,استخف,0,
نسيج,حرف,0,
بناه,عززت,3,
خلاصة,الطبلة,0,
الممثلون,يلقي,1,
استهلاك,ابتلاع,1,
بنو,ابنة,5,
الجوف,فارغة,4,
ظهر,اخرج,4,
تأهيل,تعديل,3,
بنت,صبي,4,
احتياجات,بالضرورة,5,
بد,عفونة,0,
أصدقاء,عدو,4,
حيوان,جسدي,0,
جون,مرحاض,0,
تتيح,مفيد,1,
الدرجة,صنف,1.5,
أكراد,كردي,5,
سلامة,خطر,4,
تفتح,تلفيق,0,
يختلف,تلميذ,0,
مسرحيات,ضيق,0,
رياح,منفس,1,
يستطيع,قصدير,0,
الظاهرة,تنمية,2.5,
موطنه,رؤية,2,
با,الباريوم,0,
الحادث,الأساسية,0,
بوزارة,بناء,2,
يرفع,انصرف,0,
ضعف,قوة,4,
سرد,رواية,3,
تغييرات,البقاء,0,
هوت,اختتام,0,
المرحوم,الانطباع,0,
الفردية,مشترك,2.5,
جوي,غازي,0,
كونت,عدد,0,
تابع,اتحاد,3,
الألفية,ألفي,3.5,
الطبية,المدعو,0,
بتأسيس,الهلامية,0,
عسكري,انضباط,3,
ظاهرة,تنمية,3,
ليست,غير,3,
جنوبية,مشروع,0,
المزارع,تنمو,2.5,
المصطلحات,تسمية,4,
تزال,ساكن,0,
قراءة,إشارة,2.5,
الهادئ,مسالم,5,
الأنباء,استخبارات,4,
للجمعية,إيجاد,0,
بر,أرض,5,
فكرية,خمر,2.5,
محتوى,ساخط,0,
نشأة,الأصل,4,
التأهل,أوتوقراطية,0,
بعثة,تهمة,0,
ذاته,تكرر,2,
الإجتماعية,المجتمعية,5,
التاريخي,المتزامن,3.5,
المخطط,تآمر,3.5,
فاصل,اعتقال,0,
البحوث,بحث,3.5,
ينتشر,طية,2,
شقيقه,أسفل,0,
منحه,جرف,0,
المصلحة,تجويف,0,
الفرد,مشترك,3,
ذاتي,طازج,0,
إنسي,الثايمين,0,
لعائلة,الأسرة,5,
تكمن,يسكن,0,
طبية,جراحي,4,
اعتمد,مواطن,2.5,
دائماً,أبدا,4,
تحرك,امتنع,3.5,
جهة,استبصار,3.5,
المتحدة,منقسم,4,
استمرار,الطليعية,2,
مصفوفة,مجموعة,2.5,
بتاريخ,مقيدة,2.5,
لمنطقة,بلد,3.5,
ميزان,ديمقراطية,1,
بل,مجرد,3,
بأس,هدية,1,
تأييد,دعم,4,
الترجيح,الوزن,4,
عسكريون,خمر,0,
وفيات,خلود,2.5,
المدفعية,بندقية,4,
بت,بقعة,0,
قوانين,توراة,4,
الدولة,حالة,0,
مظهر,اختفاء,4,
الحادة,مزمن,4,
خاص,استثنائي,4,
بإطلاق,ألغى,3.5,
بث,هواء,3.5,
القارئ,مكتتب,4,
ينمو,منعطف,1,
نهاية,توقف,4,
يتضح,فتح,1,
به,الماضي,0,
أفلح,الناس,0,
ترتفع,نقش,0,
للقرية,بلدة,5,
أقصى,أدنى,4,
يتطلب,صنعة,2,
القدم,الرأس,4,
تجمعات,فتح,0,
أسسها,تستند,3,
حق,مركز,0,
تخفيف,حل,4,
الحيوي,خبري,0,
عامة,إجمالي,1,
الارتفاعات,منخفض,4,
يشعر,خبرة,0,
الدولي,خارجي,4,
وهناك,هنا,4,
الجسر,ربط,1,
يتألف,يسكن,1,
لمحة,تألق,0,
حازت,قرب,0,
مختلف,شريعي,0,
قتلى,نقل,2.5,
انضم,نلتقي,1,
ميدان,إجابة,0,
شفوية,شرجي,0,
