Word 1,Word 2,Similarity
زيتون,فاكهة,1.0
إضافة,طرح,0.7
البرمجيات,الفنية,0.325
كارلوس,سانشيز,0.567
الظاهري,عملي,0.8
الزمني,ساعة,0.8
تدعو,اسم,0.6
الدوار,شريط,0.0
ونظرا,منحت,0.0
سرد,رواية,0.6
تاريخها,حساب,0.2
شكلها,حدد,0.175
يتحدث,حديث,1.0
جزءاً,كليا,0.85
مسلمون,مسلم,1.0
موحدة,متسق,0.4
أسقف,كاهن,0.0
عكس,مواجه,0.7
لين,الصعب,0.8
تقدم,عرض,0.4
التعادل,دمج,0.525
إجازة,تألق,0.0
متر,قياس,0.6
للاتحاد,يستلزم,0.6
يصل,تأتي,0.8
نشط,المشاركة,0.6
ويبدأ,النهاية,1.0
الحين,نقطة,0.0
الحرام,دنس,0.8
المنفذ,عمل,0.5
هوت,اختتام,0.0
المستقبل,التالى,0.85
بسيطة,صغير,0.0
قمر,عرض,0.0
فيلم,أخذ,0.0
الألم,احتفل,0.8
التاسع,تسعة,1.0
مغلقة,بلدة,0.0
فكرية,خمر,0.5
وحسن,سيئة,1.0
مائي,رسوبي,0.2
غياب,تجريب,0.0
يعطي,بناء,0.1
إنسي,الثايمين,0.0
المسؤولين,الموظف,0.8
يرتفع,ميغاهرتز,0.0
جسور,خجول,0.4
الجمعية,تبرؤ,0.0
تزيد,مستحق,0.1
مهارات,إنجاز,0.8
نشطة,المشاركة,0.4
الاخرى,نقد,0.0
تتحول,منعطف,0.4
مسرحية,عمل,0.6
تنقسم,قسمت,1.0
العضوية,غريزي,0.2
تنتقل,أخذ,0.0
السلع,كامل,0.3
بأداء,تنفيذ,0.8
فائدة,تجويف,0.0
يُمكن,تأتي,0.2
نقطة,تشير,0.0
يختلف,تلميذ,0.0
الاجتماعية,انطوائي,0.6
ازدياد,نقصان,0.8
بوزارة,بناء,0.4
تحسين,هبوط,0.575
هاتف,مكالمة,0.8
العثور,إنشاء,0.0
حقوق,مركز,0.0
اللعب,ضيق,0.15
المستعملة,استغلال,0.55
الوظيفة,عطل,0.2
فلسفة,عقيدة,0.6
بأس,هدية,0.2
مجرد,ظالم,0.0
عبر,بالعرض,0.5
المراجعة,نقد,0.8
الفقر,ثروة,1.0
العقد,كتيب,0.3
السنين,سن,1.0
الجزيئي,تستعد,0.025
سبحانه,ألوهية,0.8
المشتركة,منقسم,0.6
ملائمة,مفيد,0.8
أغاني,صخبا,0.4
الفرد,مشترك,0.6
لمنطقة,بلد,0.7
الشمالي,شمالي,1.0
نجد,تخسر,0.4
اتخذت,معطى,0.6
شاء,توريث,0.15
قرار,تقرير,1.0
هنالك,هنا,1.0
الفتيات,صبي,0.925
البدنية,عقلي,0.8
بقية,مزرق,0.0
موضع,ضع,0.6
وعائية,ردفان,0.0
يزال,متحرك,0.4
مدرب,قطار,0.0
الجد,عبث,1.0
صغار,المقعدية,0.0
الجسم,جسد,0.975
المصطلحات,تسمية,0.8
إمكانية,استحالة,1.0
المصارعة,تصارع,1.0
السامية,بارز,0.6
نشر,منشور,1.0
الرحلات,ريش,0.0
الفاكهة,يتحمل,0.1
فاصل,اعتقال,0.0
الجوي,هواء,1.0
الترفيهية,تسلية,0.95
سوس,عملة,0.0
حقائق,مفهوم,0.45
المؤقت,الأثناء,0.4
سؤال,دردشة,0.65
يستحق,جدارة,0.75
الحديدي,تسوية,0.025
بارزة,معلقة,0.6
المسرحية,غادر,0.0
تزال,ساكن,0.0
اسم,مكالمة,0.0
الطبيعة,سبب,0.2
أصل,بداية,1.0
للتنمية,تفويض,0.6
مستوى,رفع,0.4
المحليين,مسبار,0.0
البرية,كبح,0.0
بر,أرض,1.0
الأخيرة,أولا,0.95
انضم,نلتقي,0.2
عبيد,حر,0.8
بول,صنع,0.0
خطر,سلامة,0.9
تمثيل,تفويض,0.6
لونه,اللون,1.0
خفيف,أساسي,0.3
القومية,داخلي,0.55
يمكنها,تأجير,0.0
الدائم,تزاحم,0.0
جيب,حقيبة,0.3
مساحة,وضع,0.0
للمجلس,جمعية,0.7
القرار,سجل,0.0
حب,كراهية,0.8
نشأة,الأصل,0.8
يمكن,قصدير,0.0
الجسر,ربط,0.2
رحيل,الذهاب,0.8
مظاهر,الظهور,1.0
الحق,مركز,0.0
الفرنسيون,استراحة,0.0
السنية,السني,1.0
تعيش,مسجل,0.05
اهتم,تجويف,0.0
الرمل,ناعم,0.5
السلف,الرائد,0.2
الصعيد,مسطحة,0.2
يؤمن,ميدان,0.1
بعيداً,خارج,0.6
محل,ساعة,0.0
غريبة,مألوف,0.9
النسبية,مطلق,0.65
