Type,Left,Right,Similarity
syn, وربما, ربما, 
syn, الصدر, صدر, 
syn, يتحول, منعطف, 
syn, السريعة, سريع, 
syn, إفريقيا, أفريقيا, 
syn, حساب, حساب, 
syn, أولمبياد, الأولمبياد, 
syn, تكوين, تشكيل, 
syn, اتصالات, التواصل, 
syn, س, ثانية, 
syn, القاهرة, القاهرة, 
syn, يمكن, قصدير, 
syn, الصليبية, مصلح, 
syn, سبتمبر, أيلول, 
syn, فنون, انضباط, 
syn, الزواج, زواج, 
syn, الدستورية, مدمج, 
syn, الغربي, غربي, 
syn, فضة, silvern, 
syn, ترشيحات, موعد, 
syn, يصعب, الصعب, 
syn, ميدالية, زخرفة, 
syn, المحاصيل, زرع, 
syn, دعوة, اسم, 
syn, مترو, المترو, 
syn, تستحق, مستحق, 
syn, النخيل, مقبض, 
syn, الصينية, الصينية, 
syn, البارزة, ارتفاع, 
syn, كارلوس, سانشيز, 
syn, فالي, وادي, 
syn, الفاتيكان, الفاتيكان, 
syn, المجلة, خرطوشة, 
syn, تسلسل, تأكد, 
syn, المجلس, جمعية, 
syn, الاقتصادي, اقتصادي, 
syn, الدائرة, تعميم, 
syn, الشائعة, متبادل, 
syn, مترا, قياس, 
syn, النحو, زرنيخ, 
syn, بذرة, زرع, 
syn, التجارب, تجربة, 
syn, التجارة, بضائع, 
syn, متر, قياس, 
syn, الإخراج, خلق, 
syn, السلم, الهدوء, 
syn, مفتوح, منحل, 
syn, يدعو, اسم, 
syn, يدعى, دعا, 
syn, منفذ, خروج, 
syn, يدعم, دعم, 
syn, السلة, الأطواق, 
syn, لاحق, خفي, 
syn, الناتج, خلق, 
syn, يبلغ, انجستروم, 
syn, السلع, كامل, 
syn, أزمة, مرحلة, 
syn, 91, XCI, 
syn, 90, تسعون, 
syn, 93, xciii, 
syn, 92, xcii, 
syn, 95, xcv, 
syn, 97, xcvii, 
syn, 96, xcvi, 
syn, المتعددة, المنتج, 
syn, ملعب, منتجع, 
syn, بطريقة, الطريقة, 
syn, بداية, أولا, 
syn, مستعمرة, مستوطنة, 
syn, الجهاد, جهاد, 
syn, إصدار, مختلف, 
syn, الوطنية, داخلي, 
syn, بديلة, البديل, 
syn, إطلاق, اتركها, 
syn, لندن, لندن, 
syn, التلفزيونية, تلفزيون, 
syn, هيئة, جسد, 
syn, المجموعة, aggroup, 
syn, شاه, شاه, 
syn, أيقونة, صورة, 
syn, حبيب, مروحة, 
syn, المرة, ساعة, 
syn, م, ألف, 
syn, النحاس, معطف, 
syn, القتل, ذبح, 
syn, إشراف, الإشراف, 
syn, شاء, توريث, 
syn, شاب, جديد, 
syn, كلية, الجسم, 
syn, طول, بعد, 
syn, الثاني, 2, 
syn, اهل, قوم, 
syn, مناسبة, سبب, 
syn, بطول, بعد, 
syn, سائر, سابق, 
syn, الجماهير, كثرة, 
syn, الصعيد, مسطحة, 
syn, الجسم, جسد, 
syn, اختصار, قطع, 
syn, احدى, 1, 
syn, بنحو, تقريبا, 
syn, كونه, beingness, 
syn, يعمل, النبات, 
syn, سائق, linksman, 
syn, سائل, شفاف, 
syn, الجسر, ربط, 
syn, الانتشار, نشرها, 
syn, طور, تتطور, 
syn, الخدمة, خدمة, 
syn, التحالف, اتحاد, 
syn, التعريف, حساب, 
syn, الشخصيات, نقش, 
syn, ارتفاع, بارز, 
syn, الصورة, تصور, 
syn, المستقبل, التالى, 
syn, درويش, الفقير, 
syn, الرابعة, 4, 
syn, معنى, حامل, 
syn, السرطان, سرطان, 
syn, موضع, وضع, 
syn, عامًا, سن, 
syn, 170, clxx, 
syn, شيء, شيء, 
syn, مغامرات, مغامرة, 
syn, مسيسيبي, ميسيسيبي, 
syn, الليل, الليل, 
syn, شيخ, قديم, 
syn, الفن, الفنية, 
syn, الفم, حديث, 
syn, الظهور, مظهر, 
syn, لقاء, نلتقي, 
syn, روائي, تلفيق, 
syn, تتعرض, فتح, 
syn, نزاعات, التحدي, 
syn, الجبهة, بحث, 
syn, غلام, ابن, 
syn, الطيران, airmanship, 
syn, الاستيلاء, نشبة, 
syn, غلاف, قذيفة, 
syn, مسلمة, مسلم, 
syn, تجري, وضع, 
syn, ميخائيل, ميخائيل, 
syn, اقتصاد, إنقاذ, 
syn, الوزراء, حضر, 
syn, لجائزة, الحالي, 
syn, سوريا, سوريا, 
syn, سورية, سوريا, 
syn, وحتى, مناصفة, 
syn, الخريطة, رسم, 
syn, الاعتدال, الاعتدال, 
syn, شوارع, فرصة, 
syn, قطر, بقطر, 
syn, الانتخابية, الاختيار, 
syn, داكوتا, داكوتا, 
syn, قطع, تقصير, 
syn, حالياً, حاليا, 
syn, للقوات, تجبر, 
syn, وسط, وسط, 
syn, قطب, deoxidise, 
syn, الجولة, دائري, 
syn, متوسطة, متوسط, 
syn, الموصل, الموصل, 
syn, سفر, سفر, 
syn, يرمز, رمز, 
syn, تدل, عرض, 
syn, حكومة, سلطات, 
syn, الجودة, الاختيار, 
syn, مركزية, مركزية, 
syn, تؤكد, عزز, 
syn, نهائيات, الختامية, 
syn, خارطة, رسم, 
syn, الكرة, لفة, 
syn, جوزيف, يوسف, 
syn, إغريقية, إغريقي, 
syn, الغرض, هدف, 
syn, سامي, سامي, 
syn, الملاحة, تجريب, 
syn, مسابقة, مسابقة, 
syn, الإطار, نموذج, 
syn, الابتدائية, ابتدائي, 
syn, حكمه, مرحبا, 
syn, ثنائية, عقيدة, 
syn, مسرح, مسرح, 
syn, الوسيط, وسيط, 
syn, البرلمان, فانتان, 
syn, تقرير, وصف, 
syn, بسمة, برهن, 
syn, التصوير, عمل, 
syn, تنمية, تطور, 
syn, التصويت, تصويت, 
syn, الإسرائيلية, إسرائيلي, 
syn, عرب, عربي, 
syn, تكرار, كرر, 
syn, عرش, توج, 
syn, عرض, عرض, 
syn, الكويكب, الكويكب, 
syn, أنواع, typewrite, 
syn, خطوات, سلالم, 
syn, رؤساء, قيادة, 
syn, عرف, استعمال, 
syn, القرارات, تقرير, 
syn, الاستخدامات, استخدام, 
syn, البحريني, البحريني, 
syn, ثابت, مجموعة, 
syn, استخدامها, استغلال, 
syn, أسباب, اختتام, 
syn, شاطئ, أرض, 
syn, رمز, صفر, 
syn, طاهر, speckless, 
syn, الصوتية, صوت, 
syn, السامية, بارز, 
syn, نشر, منشور, 
syn, الفائزة, منتصر, 
syn, 100, مائة, 
syn, هداف, المتابع, 
syn, رؤية, مشهد, 
syn, نشط, المشاركة, 
syn, رسالة, نقل, 
syn, عربي, العربية, 
syn, القوالب, templet, 
syn, جميعا, كليا, 
syn, المشتركة, منقسم, 
syn, الفساد, corruptness, 
syn, الثنائية, isobilateral, 
syn, التفاصيل, المعلومات, 
syn, البابا, البابا, 
syn, النصوص, المدرسية, 
syn, السوق, تسويق, 
syn, ويقول, حالة, 
syn, المعادل, التعادل, 
syn, المعادن, مادة, 
syn, المعهد, إنشاء, 
syn, أولية, أسبقية, 
syn, ملكة, تعزيز, 
syn, التراث, وراثة, 
syn, أبناء, صبي, 
syn, دفع, دفع, 
syn, ميزوري, ميسوري, 
syn, بوابات, غيتس, 
syn, سوف, توريث, 
syn, سوق, تسويق, 
syn, قرار, تقرير, 
syn, سول, سيول, 
syn, سوى, مجرد, 
syn, بلدة, بلدة, 
syn, بيئة, ضواحيها, 
syn, هندسة, تكنولوجيا, 
syn, الإلكترونية, توكوفيرول, 
syn, سور, جرف, 
syn, المؤسسات, مؤسسة, 
syn, سوء, مريض, 
syn, وأعلن, معلن, 
syn, الجمعة, الجمعة, 
syn, الكلاسيكية, موثوق, 
syn, دفن, دفن, 
syn, جماعات, aggroup, 
syn, أبا, قماش, 
syn, بنتيجة, نتيجة, 
syn, موسيقية, لحني, 
syn, اكتب, typewrite, 
syn, الرحلات, ريش, 
syn, الجيش, جيش, 
syn, الشهيد, martyrize, 
syn, الطبيعي, غريزي, 
syn, حركة, حركة, 
syn, الزمني, ساعة, 
syn, تشكيل, تشكيل, 
syn, يتحدث, حديث, 
syn, الشخصي, تشكل, 
syn, لكن, مجرد, 
syn, بتقديم, عرض, 
syn, الخلافة, الخلافة, 
syn, اجتماع, نلتقي, 
syn, غضون, جولة, 
syn, للثقافة, حضارة, 
syn, الرابطة, صلة, 
syn, العملية, عالج, 
syn, شهر, فترة, 
syn, مثلما, زرنيخ, 
syn, الشرطة, دورية, 
syn, تاريخها, حساب, 
syn, وترتفع, ترتفع, 
syn, الطبيعة, سبب, 
syn, بينما, قطعة, 
syn, الامام, imaum, 
syn, هامش, الحدود, 
syn, أصل, بداية, 
syn, هامة, الاستيراد, 
syn, ديزني, ديزني, 
syn, بصورة, أكثر, 
syn, للطيران, airmanship, 
syn, الكيميائية, كيميائي, 
syn, تنقسم, قسمت, 
syn, إحياء, تراكم, 
syn, الكم, كمية, 
syn, اعتبر, رؤية, 
syn, العثمانية, عثماني, 
syn, ورق, غطاء, 
syn, ترجمة, أداء, 
syn, درس, مثال, 
syn, الفتاة, الآنسة, 
syn, الأسود, كئيب, 
syn, حكاية, سرد, 
syn, درع, شاشة, 
syn, مالية, المالية, 
syn, مطلع, أولا, 
syn, درب, سحب, 
syn, بأنها, زرنيخ, 
syn, مرتفعة, بارز, 
syn, الفكر, فكرة, 
syn, مطارات, مطار, 
syn, الإصدار, اتركها, 
syn, مايكل, ميخائيل, 
syn, الشتاء, مرر, 
syn, الدنمارك, الدنمارك, 
syn, سيرته, مرحبا, 
syn, مؤسسي, متخلف, 
syn, أغاني, صخبا, 
syn, الثمانينات, 1880s, 
syn, مناقشة, مناقشة, 
syn, الذهب, ذهبي, 
syn, إنشاء, جعل, 
syn, موجودة, يكون, 
syn, مؤسسة, كورب, 
syn, النظر, ظرف, 
syn, 120, CXX, 
syn, مقارنة, مقارنة, 
syn, تدعى, اسمه, 
syn, بالفرنسية, استراحة, 
syn, يقارب, قرب, 
syn, تدعم, دعم, 
syn, ترى, رؤية, 
syn, ترك, اتركها, 
syn, تناول, أخذ, 
syn, البشري, لوطي, 
syn, فرعية, بدل, 
syn, مئات, مائة, 
syn, 150, CL, 
syn, السلامة, ملجأ, 
syn, 155, 155, 
syn, قشتالة, قشتالة, 
syn, أعماله, IT, 
syn, المنظمة, منظمة, 
syn, الوفاة, الوفاة, 
syn, الأرجل, صلابة, 
syn, الطويل, متذكر, 
syn, مسابقات, مسابقة, 
syn, أعلن, دلالة, 
syn, ألعاب, أعرج, 
syn, الكيمياء, كيمياء, 
syn, جواز, مرر, 
syn, محاولة, محاولة, 
syn, فهرسة, تشكيلة, 
syn, الاحتفال, ابتهاج, 
syn, كاتب, مؤلف, 
syn, عظيم, معلقة, 
syn, ذاتية, ارفع, 
syn, 99, جيم, 
syn, الصحافة, صحافة, 
syn, 98, xcviii, 
syn, نزاع, التحدي, 
syn, بريطانيون, البريطانيون, 
syn, رئيساً, رئيس, 
syn, حولها, حول, 
syn, موزع, موزع, 
syn, البريطانية, البريطانيون, 
syn, وقف, أعرج, 
syn, الغابات, تشجير, 
syn, شعبان, شعبان, 
