Word 1,Word 2,Similarity (0-5),Nonsense (Optional),
السلف,الرائد,0,,
الجملة,تبرئة,0,,
تسلسل,تأكد,0,,
الخلافات,الانحراف,3.5,,
أزمة,مرحلة,2,,
افتتح,إغلاق,5,,
طرح,علامة,2,,
منتخب,مشاة,0,,
يتسبب,فعل,4,,
لجان,عمولة,0,,
كاتب,مؤلف,5,,
مناسبة,سبب,3,,
اختصار,قطع,4,,
السلع,كامل,0,,
المنقار,أقلق,0,,
السود,أبيض,5,,
هوائية,التحدي,0,,
إجازة,تألق,0,,
ميدالية,زخرفة,1.5,,
اعتمدت,وضيع,0,,
النحو,زرنيخ,0,,
للدفاع,مناصفة,0,,
القطبية,الخسران,0,,
أخو,أخت,5,,
بيته,كردي,0,,
يتفق,عقيدة,1.5,,
الضعف,قوة,5,,
المستقبل,التالى,4.5,,
التلفزيونية,تلفزيون,5,,
يعمل,النبات,0,,
نشاط,تراخ,5,,
العلوي,أسفل,5,,
الموافقة,استنكار,5,,
السفلى,دائري,0,,
المتعددة,المنتج,2,,
الدستورية,مدمج,0,,
المنفذ,عمل,0,,
درويش,الفقير,4,,
قتال,معركة,5,,
المنفى,فرصة,0,,
موضع,ضع,3.5,,
قصير,الحالي,0,,
محفوظ,الحضور,0,,
وطنية,وابل,0,,
الصليبية,مصلح,0,,
بجميع,لا,0,,
بنحو,تقريبا,4,,
خضراء,ناضجة,0,,
الانترنت,شبكة,5,,
فالي,وادي,,Y,valley?
التطورات,تفويض,0,,
الشائعة,متبادل,4,,
الأخيرة,أولا,5,,
جعله,فشل,2,,
المئذنة,برج,3,,
القومية,داخلي,4,,
علوية,هدف,0,,
هام,تافه,5,,
يتخذ,فانتان,,Y,
عانى,عمل,1.5,,
متر,قياس,0,,
ميلادية,إعلان,0,,
تؤدي,بحث,0,,
العديدة,قليل,4,,
الاقتباس,توصية,0,,
الحاصل,عدد,0,,
المحاكم,وو,,Y,
محلي,تلفيق,0,,
الثقيل,نشبة,,Y,
جغرافي,مغنطيسي,0,,
المحاصيل,زرع,5,,
يبدأ,حضر,0,,
جودة,الاختيار,0,,
الجسم,جسد,5,,
جيداً,سوء,5,,
إطلاق,اتركها,0.5,,
المدنية,مهذب,0,,
بنات,صبي,5,,
شاء,توريث,0,,
مفتاح,تجبر,0,,
عملها,قسمت,0,,
تحسين,هبوط,4,,
امبراطورية,الامبرياليين,5,,
تمنع,الاختيار,0,,
تركيز,خاصية,0,,
لمشروع,نتأ,,Y,
اهتم,تجويف,0,,
العجز,قيادة,3,,
حبيب,مروحة,0,,
قرب,بعيدا,5,,
إحسان,خير,5,,
الصورة,تصور,5,,
أعلى,أسفل,5,,
باللهجة,لغة,5,,
يصعب,الصعب,5,,
منفرد,مشترك,5,,
الغربي,غربي,5,,same word
الحروب,ضرورة,0,,
الحديدي,تسوية,0,,
خانة,رزمة,0,,
معنى,حامل,0,,
النخيل,مقبض,0,,
اجتمع,يوسف,0,,the second is a personal name
مركب,بسيط,0,,
السيناريو,افتراض,4,,
روابط,الانقطاع,5,,
السلم,الهدوء,5,,
التجارة,بضائع,4,,
عادية,غريب,5,,
السلة,الأطواق,0,,
الإثنية,ثقافي,0,,
طبيعي,منتصر,0,,
راشد,حدث,0,,
وتوجد,تطور,0,,
الفعالة,فعال,5,,
السنين,سن,5,,
دعوة,اسم,0,,
الاجتماعية,انطوائي,5,,
التجارب,خبرة,5,,
عبيد,حر,5,,
غضب,أثار,5,,
أخوه,رفيق,3.5,,
سائر,سابق,0,,
الصدر,صدر,5,,
يتحول,منعطف,0,,
فنون,انضباط,0,,
ينقسم,متحد,5,,
التجميع,تلفيق,0,,
امتداد,تزاحم,0,,
الخدمة,خدمة,5,,same word
غياب,تجريب,0,,
الفوائد,ربح,3,,
إم,الأب,5,,
الفتيات,صبي,5,,
كارلوس,سانشيز,4,,
جثة,جيفة,5,,
بقرار,إعلان,3.5,,
الجيد,سيئة,4.5,,
أخت,أخ,5,,
أخي,أخت,5,,
النحاس,معطف,0,,
التعادل,دمج,3,,
الرقمي,فطري,0,,
مركز,اليسار,0,,
الصوتي,صوت,5,,
يزيد,نقصان,5,,
صوتية,صحي,0,,
جزءاً,كليا,4,,
شكلها,حدد,0,,
التجاري,تعامل,2,,
البر,إثم,0,,
سؤال,دردشة,3.5,,
تجنب,مواجهة,4,,
جزءًا,نلتقي,0,,
الأرضية,الشكل,0,,
علاقات,الانقطاع,4,,
لعبت,ضيق,0,,
يجعل,مرحبا,0,,
معينة,إنقاذ,4,,
أوائل,ارتفاع,3,,
الإخراج,خلق,1,,
م,ألف,,Y,
زيادة,جناح,3,,
المكان,ستوديو,3,,
كلية,الجسم,0,,
اللوحات,صورة,5,,
كثيرًا,القليل,5,,
بطول,بعد,0,,
بأكثر,أقل,5,,
يقبل,قريب,1,,
سلف,ضع,0,,
أسباب,اختتام,0,,
الأسئلة,شكل,0,,
مغتربون,عززت,0,,
حصل,ضائع,0,,
نقابة,عزز,0,,
العدو,تطلب,0,,
العدل,رسم,0,,
اهل,قوم,3,,
أيقونة,صورة,4,,
منازل,سلطات,0,,
غازي,سائل,3.5,,
الجماهير,كثرة,4,,
بقرية,بلدة,4,,
أقارب,متناسب,3,,
يتيمة,نشط,0,,
مواصلة,توقف,0,,
الانتشار,نشرها,5,,
الدائرة,تعميم,0,,
شاب,جديد,2,,
يعاني,استمتع,4,,
مفتوح,منحل,3.5,,
تمنح,عرض,4,,
بلورات,تبلور,5,,
كاري,فستان,0,,
عكس,مواجه,3,,
يزال,متحرك,1,,
السائد,سائد,5,,same word
ملعب,منتجع,4,,
المباراة,تعارض,3.5,,
كافة,لا,4.5,,
النزاع,فواجه,4,,
بتعديل,وصف,0,,
ارتفاع,منخفض,5,,
اللعب,ضيق,0,,
هيئة,جسد,3,,
المجلة,خرطوشة,2,,
تأسيسها,الغرب,0,,
الجزيئي,تستعد,0,,
السنية,السني,5,,
النسبية,مطلق,0,,
مقابلة,سؤال,3.5,,
عمل,تراخ,4,,
تكوين,تشكيل,5,,
الوفيات,نقل,0,,
أبعد,المزيد,0,,
يدعو,اسم,2,,
علما,رصد,3,,
يدعم,دعم,5,,
الأحمر,برهن,0,,
الشعري,شعري,5,,same word
الجذور,شرط,0,,
ويشير,التالى,,Y,
الصعيد,مسطحة,0,,
الترفيهية,تسلية,5,,
طول,بعد,3,,
السفلي,تجبر,0,,
مسلمون,مسلم,5,,plural
اتصالات,التواصل,5,,
يمكن,قصدير,,Y,
الصغار,حفظ,0,,
دولي,فواجه,0,,
لاحق,خفي,0,,
عمر,تجديد,0,,
طور,تتطور,5,,
مبكر,سابق,4,,
تعيش,مسجل,0,,
سائل,شفاف,1,,
الاتفاق,قذيفة,0.5,,
طبيعية,اتفاقية,0,,
الكرة,لفة,0,,
البرمجيات,الفنية,0,,
الجمعيات,تبرؤ,0,,
القرن,مائة,4,,
تشبه,مماثل,5,,
مستعمرة,مستوطنة,5,,
مؤقت,عشرة,0,,
تزيد,مستحق,0,,
الأرمن,الأرميني,5,,
