Word 1,Word 2,Similarity (0-5),Nonsense (Optional)
لسان,حضن,3,
بحر,إيجاد,1,
الإفراج,قلعة,2,
سيئة,جيد,4,
الحرارة,سيادة,1,
التوقف,فراغ,1,
بعيداً,خارج,4,
رياضات,خاصية,,y
هاتف,مكالمة,3,
الحضرية,الريف,4,
فقد,وجدت,3,
بنين,ابن,4,
المتحركة,حياة,1,
تظهر,عرض,4,
اللاحق,جولة,,y
الفاكهة,يتحمل,1,
غريبة,مألوف,4,
يقلل,حركة,2,
راديو,نقل,1,
بقي,ملحق,,y
الثوري,متطرف,3,
غينيا,ووب,,y
حقائق,مفهوم,3.5,
توازن,جزيء,2,
الأدباء,مؤلف,4.5,
فقر,ثروة,4,
يسبق,أبدا,3,
طروادة,مدينة,1,
بري,الجامح,4,
نقد,جمهورية,1,
تنس,التنس,1,
خلفية,عززت,2.5,
زوج,حيازة,2.5,
بعضها,كل,4,
مقابل,عازم,1,
الحكمة,حماقة,4,
مركبة,نقل,2,
العقل,أغلق,1,
والد,انجب,2,
محاذاة,مزرق,1,
أسلوب,عنوان,0,
يشمل,اعترف,0,
انتخاب,الاختيار,3,
السلام,ثانية,0,
يطلب,مثالي,0,
إظهار,عرض,4,
المسلسلات,متتابع,3,
قمع,تقليص,3.5,
رقمية,ملحق,2,
هزيمة,فوز,4,
خفيف,أساسي,1,
تتحول,منعطف,2,
النوم,الاحتجازية,0,
تكونت,متخيل,3,
مستقبل,الماضي,4,
تثبت,مرضي,0,
وطن,داخلي,2,
تنص,قل,3,
تربة,نظيف,3,
العبارة,صياغة,3,
النووية,تقليدي,0,
للمجلس,جمعية,4,
عبر,بالعرض,2,
تمييز,محسوبية,4,
عاصمتها,رائعة,0,
صعوبة,ارتشف,0,
ازدياد,نقصان,3,
ميونخ,ميونيخ,,y
النفسية,العلوم,4,
حرة,الحب,2,
بتنظيم,نظمت,4.5,
الدوران,ثورة,3,
ابتداء,غرس,2,
الأوساط,تعميم,0,
جمال,متوسط,0,
الكوميديا,مأساة,4,
طيران,ريش,3.5,
هوامش,الحدود,3,
ثابتة,مجموعة,2,
الصوديوم,نا,,y
تصغير,زيادة,3,
شكري,اعتراف,2,
تلوث,العيب,3,
بارتفاع,أسفل,3,
نصر,هزيمة,4,
دل,الساحبة,0,
الحقيقي,موجود,2,
فيكتور,سيد,,y
يعطي,بناء,1,
الوظيفية,التشغيل,4,
الكلية,الجسم,2,
مهاجمو,معتدي,3.5,
العضوية,غريزي,2,
دفاع,جريمة,1,
اللحم,نواة,1,
المحترفة,الهاوي,3.5,
سابقون,أخير,3.5,
الكتابة,تأليف,3,
إصدار,مختلف,1,
فلم,كل,0,
أغلب,حول,3,
داخلي,خارجي,4,
الفدرالي,اتفاقية,2,
عانت,استمتع,1,
الداخلي,سفلي,3,
الخلفية,طليعة,4,
نصف,كامل,4,
آمنة,خطير,4,
العصب,صلب,2.5,
قمة,تحقيق,2.5,
الحرارة,يأذن,0,
دوريات,شرطة,4,
إعلامي,المنير,3,
يرفض,هبوط,3,
بمركز,وسط,4,
مدرس,معلم,5,
انتشار,طية,3,
رحيل,الذهاب,4,
النقدية,احتفظ,2,
المقام,ضع,0,
الأرضي,مرساة,2.5,
مباني,صرح,3,
جسور,خجول,4,
الخصم,ناهض,3,
وظل,النصرانية,0,
يستحق,جدارة,3.5,
لحظة,هدم,0,
الرسمية,الموظف,3,
يحضر,بحث,2.5,
الحجري,حفرة,3,
العسكري,مدني,4,
التعليق,تنويه,3,
يعطى,عودة,3,
الملوك,ريكس,,y
ماكس,صابون,,y
غزو,زحف,,y
الخطر,ضائع,3,
المرتبطة,قريب,3,
الترتيب,متفوق,3,
تظل,تنسيق,3,
يُمكن,تأتي,2,
دائمًا,أبدا,3,
إغلاق,النهاية,4,
عملاقة,أخرق,1,
الشرف,خزي,4,
صلاحية,عجز,3,
القسم,قطعة,3,
المجلات,خرطوشة,3,
العقد,كتيب,3,
أضف,ألحق,3,
خطر,سلامة,4,
بدء,النهاية,4,
الأقصى,قرب,3,
الأحوال,انضباط,2,
متلازمة,مجمع,1,
هيا,نزول,2,
الطيبة,كامل,2,
الطبي,ديفيد,,y
برز,نتأ,3,
الشرق,غرب,4,
تأهل,قرية,0,
الثورة,دوران,2,
تصيب,طهر,2,
المكتوبة,سرد,3.5,
موحدة,متسق,3,
المستعملة,استغلال,3.5,
مجمع,بسيط,0,
الوفاء,ديني,2,
بارزة,معلقة,4,
الرائد,افتح,3,
الجدل,خلاف,3,
القانون,فقه,3.5,
معرف,ايداهو,0,
الحزم,اغلاق,3,
صوديوم,نا,5,not sure if نا is really equivalent to NA but it would sound out that way
عزبة,فدان,3,
التنسيق,محترس,0,
النور,أسير,0,
الأحداث,حالة,2,
المحلية,الفلور,3,
شهاب,نيزك,3.5,
التقرير,وصف,3,
يؤمن,ميدان,1,
جيب,حقيبة,3,
تقدم,عرض,4,
دلتا,تشكيل,,y
الغازية,تابع,0,
استمر,نقل,2,
متكررة,نادر,3.5,
مدرب,قطار,0,
يجد,بالتأكيد,1,
إشارات,إشارة,4.5,
خطي,مكعب,3,
ابتدائية,ثانوي,3,
رابطة,تبرؤ,0,
ملامح,نقص,0,
تشتمل,استبعد,3.5,
الوطنية,الأرستقراطي,3,
نجح,فشل,3.5,
الأركان,تلبية,3,
نجد,تخسر,4,
فائدة,تجويف,0,
المعتمد,مواطن,0,
تشجيع,رغبة,3,
قمر,عرض,0,
الأمان,خطر,4,
المغناطيسية,توضيح,0,
شرعية,لاشرعية,3.5,
مشاعر,الانطباع,3.5,
نصب,ألغى,2.5,
جين,عامل,0,
خرج,مجموعة,3,
أطلق,اتركها,5,
القرار,سجل,0,
مكتبة,تراكم,3,
نووية,الذري,4,
ذكور,أنثى,4,
جنسي,حميم,3,
عصبة,زمرة,5,
سقط,حملة,4,
مطالب,تجنب,2,
جيد,كامل,3,
لين,الصعب,4,
ذكر,مانفول,,y
البنات,دفن,0,
الإطارات,نكهة,0,
الميناء,طازج,0,
السماوية,ثانية,0,
إضافة,طرح,3,
تنقل,جودة,0,
مغلقة,بلدة,0,
الترجمة,أداء,0,
بيضاء,تقريبا,0,
الحيوانات,معدن,1,
مزرعة,تنمو,3.5,
المراكز,اليسار,3,
تمثل,محاكمة,3,
العزم,أملى,0,
إنقاذ,تسليم,3,
أشكال,تنظم,3.5,
المدني,مهذب,0,
وبعض,تقريبا,3,
زادت,انخفاض,3.5,
المقال,ربط,2,
طباعة,نشر,3.5,
المؤقت,الأثناء,2,
مغناطيسية,جغرافي,0,
وبعدها,ثم,4.5,
بولس,بول,,y
